Website,r_hint,power,content size
mparticle_com.html,css-prefetch,43.624872,light
myanimelist_net.html,url-preconnect,47.86182,heavy
myanimelist_net.html,scr-preload,46.606428,heavy
myanimelist_net.html,scr-prefetch,44.566416,heavy
myanimelist_net.html,none,49.571679,heavy
myanimelist_net.html,img-preload,46.0667088,heavy
myanimelist_net.html,img-prefetch,43.257348,heavy
myanimelist_net.html,css-preload,45.664884,heavy
myanimelist_net.html,css-prefetch,42.055632,heavy
namecheap_com.html,url-preconnect,67.948092,heavy
namecheap_com.html,scr-preload,44.252568,heavy
namecheap_com.html,scr-prefetch,43.781796,heavy
namecheap_com.html,none,63.141783,heavy
namecheap_com.html,img-preload,44.696232,heavy
namecheap_com.html,img-prefetch,45.820512,heavy
namecheap_com.html,css-preload,45.821808,heavy
namecheap_com.html,css-prefetch,47.391048,heavy
namu_wiki.html,url-preconnect,44.409492,light
namu_wiki.html,scr-preload,42.36948,light
namu_wiki.html,scr-prefetch,45.351036,light
namu_wiki.html,none,42.837946,light
namu_wiki.html,img-preload,37.4523552,light
namu_wiki.html,img-prefetch,43.763652,light
namu_wiki.html,css-preload,42.212556,light
namu_wiki.html,css-prefetch,43.311024,light
newsweek_com.html,url-preconnect,45.50796,light
newsweek_com.html,scr-preload,42.526404,light
newsweek_com.html,scr-prefetch,44.1667296,light
newsweek_com.html,none,49.182197,light
newsweek_com.html,img-preload,37.1397312,light
newsweek_com.html,img-prefetch,38.1339648,light
newsweek_com.html,css-preload,45.50796,light
newsweek_com.html,css-prefetch,43.781796,light
nexon_com.html,url-preconnect,42.055632,heavy
nexon_com.html,scr-preload,41.898708,heavy
nexon_com.html,scr-prefetch,42.8896944,heavy
nexon_com.html,none,44.57908,heavy
nexon_com.html,img-preload,41.5164672,heavy
nexon_com.html,img-prefetch,41.7374208,heavy
nexon_com.html,css-preload,45.351036,heavy
nexon_com.html,css-prefetch,42.997176,heavy
nextdoor_com.html,url-preconnect,47.704896,heavy
nextdoor_com.html,scr-preload,45.978732,heavy
nextdoor_com.html,scr-prefetch,43.311024,heavy
nextdoor_com.html,none,48.450878,heavy
nextdoor_com.html,img-preload,48.5584848,heavy
nextdoor_com.html,img-prefetch,47.339424,heavy
nextdoor_com.html,css-preload,48.489516,heavy
nextdoor_com.html,css-prefetch,48.803364,heavy
nfl_com.html,url-preconnect,50.843376,light
nfl_com.html,scr-preload,44.566416,light
nfl_com.html,scr-prefetch,47.234124,light
nfl_com.html,none,50.962571,light
nfl_com.html,img-preload,51.9846768,light
nfl_com.html,img-prefetch,52.465752,light
nfl_com.html,css-preload,47.704896,light
nfl_com.html,css-prefetch,52.726464,light
no.ip_com.html,url-preconnect,73.75428,light
no.ip_com.html,scr-preload,45.50796,light
no.ip_com.html,scr-prefetch,44.252568,light
no.ip_com.html,none,76.066656,light
no.ip_com.html,img-preload,48.745368,light
no.ip_com.html,img-prefetch,50.567112,light
no.ip_com.html,css-preload,45.194112,light
no.ip_com.html,css-prefetch,48.018744,light
nytimes_com.html,url-preconnect,47.86182,light
nytimes_com.html,scr-preload,47.547972,light
nytimes_com.html,scr-prefetch,45.3814704,light
nytimes_com.html,none,53.103325,light
nytimes_com.html,img-preload,48.6442944,light
nytimes_com.html,img-prefetch,49.7903616,light
nytimes_com.html,css-preload,49.117212,light
nytimes_com.html,css-prefetch,44.72334,light
