Column1;Column2;Column3
ring_com-htm;scr-prefetch;1004.8
ring_com-htm;scr-preload;1300.9
ring_com-htm;url-preconnect;1027.8
rollingstone_com-htm;css-prefetch;1424.5
rollingstone_com-htm;css-preload;1477.2
rollingstone_com-htm;img-prefetch;1337.0
rollingstone_com-htm;img-preload;1352.2
rollingstone_com-htm;none;1122.6
rollingstone_com-htm;scr-prefetch;1344.7
rollingstone_com-htm;scr-preload;1112.8
rollingstone_com-htm;url-preconnect;1329.5
sectigo_com-htm;css-prefetch;1853.6
sectigo_com-htm;css-preload;2103.2
sectigo_com-htm;img-prefetch;928.4
sectigo_com-htm;img-preload;887.4
sectigo_com-htm;none;859.7
sectigo_com-htm;scr-prefetch;813.0
sectigo_com-htm;scr-preload;766.8
sectigo_com-htm;url-preconnect;912.8
sharepoint_com-htm;css-prefetch;1254.7
sharepoint_com-htm;css-preload;1137.9
sharepoint_com-htm;img-prefetch;1401.3
sharepoint_com-htm;img-preload;1186.4
sharepoint_com-htm;none;1125.6
sharepoint_com-htm;scr-prefetch;1044.6
sharepoint_com-htm;scr-preload;891.7
sharepoint_com-htm;url-preconnect;906.0
slideshare_net-htm;css-prefetch;1155.7
slideshare_net-htm;css-preload;1233.9
slideshare_net-htm;img-prefetch;1083.0
slideshare_net-htm;img-preload;1124.3
slideshare_net-htm;none;1163.9
slideshare_net-htm;scr-prefetch;754.5
slideshare_net-htm;scr-preload;1171.8
slideshare_net-htm;url-preconnect;1101.8
squarespace_com-htm;css-prefetch;1029.2
squarespace_com-htm;css-preload;1425.4
squarespace_com-htm;img-prefetch;944.8
squarespace_com-htm;img-preload;867.8
squarespace_com-htm;none;759.4
squarespace_com-htm;scr-prefetch;1053.9
squarespace_com-htm;scr-preload;667.9
squarespace_com-htm;url-preconnect;704.6
taobao_com-htm;css-prefetch;1178.5
taobao_com-htm;css-preload;1411.5
taobao_com-htm;img-prefetch;937.8
taobao_com-htm;img-preload;1222.9
taobao_com-htm;none;1331.8
taobao_com-htm;scr-prefetch;1539.8
taobao_com-htm;scr-preload;891.7
taobao_com-htm;url-preconnect;1259.4
ted_com-htm;css-prefetch;1605.1
ted_com-htm;css-preload;1513.4
ted_com-htm;img-prefetch;1228.0
ted_com-htm;img-preload;758.6
ted_com-htm;none;1352.8
ted_com-htm;scr-prefetch;1414.1
ted_com-htm;scr-preload;889.7
ted_com-htm;url-preconnect;1218.2
time_com-htm;css-prefetch;924.0
time_com-htm;css-preload;1195.1
time_com-htm;img-prefetch;1085.4
time_com-htm;img-preload;995.7
time_com-htm;none;1126.8
time_com-htm;scr-prefetch;937.4
time_com-htm;scr-preload;936.5
time_com-htm;url-preconnect;808.8
timeanddate_com-htm;css-prefetch;625.4
timeanddate_com-htm;css-preload;879.4
timeanddate_com-htm;img-prefetch;789.8
timeanddate_com-htm;img-preload;904.2
timeanddate_com-htm;none;925.5
timeanddate_com-htm;scr-prefetch;794.4
timeanddate_com-htm;scr-preload;846.8
timeanddate_com-htm;url-preconnect;945.9
tinyurl_com-htm;css-prefetch;2371.7
